Thread ID,Epoch,Step,Reward
0,0,1,[0.12608326 0.56968317]
0,1,1,[0.13814727 0.54103401]
0,2,1,[0.16369485 0.5129234 ]
0,3,1,[0.15728836 0.49682922]
0,4,1,[0.15962227 0.55681394]
0,5,1,[0.13171573 0.52557148]
0,6,1,[0.15767412 0.55726072]
0,7,1,[0.10229835 0.62108186]
0,8,1,[0.16979094 0.54178139]
0,9,1,[0.2195662  0.46299541]
0,10,1,[0.21849523 0.46120243]
0,11,1,[0.20585512 0.48253439]
0,12,1,[0.12272187 0.56339778]
0,13,1,[0.18890901 0.53524445]
0,14,1,[0.18956075 0.48788913]
0,15,1,[0.18466764 0.47549146]
0,16,1,[0.12864367 0.50765189]
0,17,1,[0.10785809 0.55864739]
0,18,1,[0.20122945 0.46784923]
0,19,1,[0.12548663 0.56426725]
0,20,1,[0.16878131 0.53079701]
0,21,1,[0.15700682 0.56391793]
0,22,1,[0.19630494 0.49850392]
0,23,1,[0.11368125 0.59439531]
0,24,1,[0.14898271 0.52409132]
0,25,1,[0.18774318 0.4806956 ]
0,26,1,[0.13485194 0.53221515]
0,27,1,[0.1363685  0.53805684]
0,28,1,[0.199365   0.51152269]
0,29,1,[0.12925663 0.59569326]
0,30,1,[0.12597809 0.50234128]
0,31,1,[0.13954988 0.55187689]
0,32,1,[0.15850485 0.50574112]
0,33,1,[0.11563805 0.59998794]
0,34,1,[0.23004869 0.48750377]
0,35,1,[0.1476354  0.52382838]
0,36,1,[0.14231691 0.56730509]
0,37,1,[0.20312823 0.4723726 ]
0,38,1,[0.23613244 0.41623891]
0,39,1,[0.10665971 0.56261895]
0,40,1,[0.18638424 0.47366028]
0,41,1,[0.18263483 0.51567805]
0,42,1,[0.1342676  0.53802854]
0,43,1,[0.16500087 0.52289304]
0,44,1,[0.17583617 0.50155502]
0,45,1,[0.16637215 0.51980381]
0,46,1,[0.14290338 0.57154188]
0,47,1,[0.17689009 0.49783665]
0,48,1,[0.12096771 0.5423146 ]
0,49,1,[0.16646878 0.52925056]
0,50,1,[0.17156372 0.54261032]
0,51,1,[0.11634487 0.60742978]
0,52,1,[0.16654674 0.51887465]
0,53,1,[0.18460855 0.52637475]
0,54,1,[0.17840214 0.51326094]
0,55,1,[0.18964624 0.48872056]
0,56,1,[0.18830418 0.48477235]
0,57,1,[0.15095847 0.51979704]
0,58,1,[0.13148191 0.60365455]
0,59,1,[0.17557028 0.55132242]
0,60,1,[0.11548771 0.60821624]
0,61,1,[0.17507248 0.50232711]
0,62,1,[0.17968618 0.51010571]
0,63,1,[0.14554295 0.51902802]
0,64,1,[0.22013828 0.46617182]
0,65,1,[0.17659492 0.50233343]
0,66,1,[0.18256166 0.51673548]
0,67,1,[0.16627813 0.51603061]
0,68,1,[0.22065249 0.46675499]
0,69,1,[0.17017096 0.54440117]
0,70,1,[0.19185528 0.48990132]
0,71,1,[0.2371587  0.49942444]
0,72,1,[0.19558785 0.50758377]
0,73,1,[0.17844757 0.51195811]
0,74,1,[0.17169957 0.48436972]
0,75,1,[0.18980463 0.48548943]
0,76,1,[0.16370869 0.52257593]
0,77,1,[0.1744069  0.48959387]
0,78,1,[0.1711412  0.48658889]
0,79,1,[0.16967281 0.47890242]
0,80,1,[0.12179936 0.55464961]
0,81,1,[0.17995675 0.50887806]
0,82,1,[0.17799185 0.50919751]
0,83,1,[0.16491988 0.52267257]
0,84,1,[0.19272452 0.45120462]
0,85,1,[0.16285322 0.51492971]
0,86,1,[0.18081182 0.46811069]
0,87,1,[0.1629251  0.51213282]
0,88,1,[0.20950602 0.48367095]
0,89,1,[0.19848441 0.46240664]
0,90,1,[0.24749073 0.4740877 ]
0,91,1,[0.15379226 0.55053305]
0,92,1,[0.13715282 0.53824838]
0,93,1,[0.14365944 0.57216111]
0,94,1,[0.1648657  0.52317242]
0,95,1,[0.1063757  0.55785175]
0,96,1,[0.14244354 0.57299135]
0,97,1,[0.20673592 0.48201082]
0,98,1,[0.23279333 0.48277528]
0,99,1,[0.1311639  0.58839999]
0,100,1,[0.22752815 0.44345768]
0,101,1,[0.2139636 0.4977606]
0,102,1,[0.19817391 0.46238461]
0,103,1,[0.23556005 0.45629941]
0,104,1,[0.19286423 0.49267016]
0,105,1,[0.12699076 0.56747983]
0,106,1,[0.11415454 0.59195991]
0,107,1,[0.17005689 0.53595528]
0,108,1,[0.15188362 0.54403772]
0,109,1,[0.09729997 0.59967688]
0,110,1,[0.19097611 0.48302873]
0,111,1,[0.09679512 0.59331723]
0,112,1,[0.09378189 0.56849536]
0,113,1,[0.17281446 0.48675162]
0,114,1,[0.14359353 0.57347864]
0,115,1,[0.14988494 0.53937483]
0,116,1,[0.22872103 0.44880794]
0,117,1,[0.23550802 0.45387603]
0,118,1,[0.24246468 0.46508038]
0,119,1,[0.16662566 0.53193685]
0,120,1,[0.10417724 0.5530428 ]
0,121,1,[0.18101974 0.47495228]
0,122,1,[0.24147506 0.42426824]
0,123,1,[0.14582245 0.57594121]
0,124,1,[0.09180378 0.56683209]
0,125,1,[0.22982164 0.44572936]
0,126,1,[0.13946015 0.55792582]
0,127,1,[0.16458932 0.51086004]
0,128,1,[0.22521433 0.52245375]
0,129,1,[0.19113756 0.44206629]
0,130,1,[0.12362243 0.56432714]
0,131,1,[0.16925959 0.48112861]
0,132,1,[0.09834424 0.60046125]
0,133,1,[0.15776069 0.5024905 ]
0,134,1,[0.16986984 0.47908407]
0,135,1,[0.23084078 0.48865753]
0,136,1,[0.12778228 0.58226025]
0,137,1,[0.15776286 0.54468523]
0,138,1,[0.20380926 0.52687678]
0,139,1,[0.15766995 0.54790949]
0,140,1,[0.11698346 0.53337972]
0,141,1,[0.20302905 0.4705575 ]
0,142,1,[0.2367003 0.4528624]
0,143,1,[0.20670169 0.43668545]
0,144,1,[0.18081784 0.46072793]
0,145,1,[0.12421508 0.56406971]
0,146,1,[0.17787147 0.45949705]
0,147,1,[0.17706395 0.50157519]
0,148,1,[0.21952158 0.42613673]
0,149,1,[0.18180464 0.50742215]
0,150,1,[0.2087114  0.48608684]
0,151,1,[0.14782878 0.52411214]
0,152,1,[0.16967759 0.53010326]
0,153,1,[0.22972871 0.52435006]
0,154,1,[0.16360486 0.5256984 ]
0,155,1,[0.22899217 0.48212792]
0,156,1,[0.12998436 0.51187936]
0,157,1,[0.19432793 0.49611948]
0,158,1,[0.09275958 0.56260522]
0,159,1,[0.20679513 0.47723619]
0,160,1,[0.13438141 0.53497992]
0,161,1,[0.13743266 0.54916168]
0,162,1,[0.13501444 0.54464697]
0,163,1,[0.12907551 0.58769798]
0,164,1,[0.0973117 0.5901512]
0,165,1,[0.1306231  0.60121052]
0,166,1,[0.19475306 0.50388564]
0,167,1,[0.08681049 0.6344902 ]
0,168,1,[0.15637816 0.55773841]
0,169,1,[0.09710933 0.60244673]
0,170,1,[0.12256796 0.56086109]
0,171,1,[0.23697915 0.4228362 ]
0,172,1,[0.18719846 0.53236339]
0,173,1,[0.15207645 0.54040486]
