Thread ID,Epoch,Step,Reward
0,0,1,[0.4350861  0.43648162]
0,0,2,[0.60485918 0.60894078]
0,0,3,[0.93537343 1.53871275]
0,0,4,[0.85034054 0.81884303]
0,0,5,[1.32089957 1.04805593]
0,0,6,[1.15827533 0.57216623]
0,0,7,[1.04418129 0.92963359]
0,0,8,[0.92666202 0.73900515]
0,0,9,[0.57360399 0.80128193]
0,1,1,[0.66039799 0.6813971 ]
0,2,1,[1.31603619 0.87246629]
0,2,2,[0.52362742 0.88032854]
0,3,1,[0.8664305  0.98424557]
0,3,2,[0.64317865 0.78416805]
0,4,1,[1.32591795 1.39015924]
0,4,2,[0.82682741 1.29841122]
0,4,3,[0.18407685 0.31855196]
0,4,4,[1.2138061  0.63280727]
0,4,5,[0.19873918 0.20804449]
0,4,6,[0.58883676 0.68086837]
0,4,7,[0.2030476  0.10546386]
0,4,8,[0.96711946 1.02542656]
0,4,9,[0. 0.]
0,4,10,[1.08885363 1.35812537]
0,4,11,[0.3307268  0.27166697]
0,4,12,[0.17089105 0.2340918 ]
0,4,13,[1.03559213 0.82394547]
0,4,14,[0.19753485 0.16335071]
0,4,15,[1.00629357 1.03736767]
0,4,16,[1.26463328 1.47420516]
0,4,17,[0.81584924 1.59263105]
0,4,18,[0.55302809 0.64994017]
0,5,1,[0. 0.]
0,5,2,[0.84097006 1.01210111]
0,5,3,[0.61940757 0.94236103]
0,5,4,[0.50682048 0.72692007]
0,5,5,[0.9282567 0.5214564]
0,5,6,[1.23707075 0.85954262]
0,5,7,[0.39048212 0.70161992]
0,5,8,[1.52269015 0.65056962]
0,5,9,[0.59973775 0.70514653]
0,5,10,[0.34534318 0.50528219]
0,5,11,[1.09937024 1.54489153]
0,5,12,[0.71665007 0.81531313]
0,6,1,[0. 0.]
0,7,1,[0.42819529 0.31496142]
0,7,2,[1.06375193 0.8984439 ]
0,7,3,[0.34710713 0.41926975]
0,7,4,[0.75032781 1.17772477]
0,7,5,[0.64885768 0.64018291]
0,8,1,[0.59665452 0.74691906]
0,9,1,[0.61672985 0.67974102]
0,9,2,[0.40400008 0.27431883]
0,9,3,[0.45646765 0.74414195]
0,9,4,[1.80416674 1.11896797]
0,9,5,[0.41009787 0.46395054]
0,9,6,[1.03180224 1.83267437]
0,9,7,[1.86454758 1.75120142]
0,9,8,[0.80059467 0.99144963]
0,9,9,[1.16479137 0.49321651]
0,9,10,[0.99132991 1.30920242]
0,9,11,[0. 0.]
0,9,12,[0.67270875 0.8784856 ]
0,10,1,[0.86202736 1.03502641]
0,10,2,[0. 0.]
0,10,3,[0.25575865 0.17641486]
0,10,4,[0.75823115 1.54962565]
0,10,5,[0.85166588 0.61319192]
0,10,6,[1.0170036  1.45886965]
0,10,7,[0.20599349 0.22335386]
0,10,8,[1.12439173 0.97894932]
0,10,9,[0.26722913 0.16212608]
0,10,10,[1.40155554 1.15562283]
0,10,11,[1.08551754 1.07539817]
0,10,12,[0. 0.]
0,10,13,[1.56040827 1.46562386]
0,10,14,[0.50742222 0.6869328 ]
0,10,15,[1.31356332 1.42287203]
0,10,16,[1.62792723 0.68491904]
0,10,17,[0. 0.]
0,10,18,[1.00614924 0.55845516]
0,10,19,[0.78051127 0.66239207]
0,10,20,[1.31327497 0.8687841 ]
0,10,21,[1.35101106 0.69747669]
0,10,22,[0. 0.]
0,10,23,[1.60892197 1.24160196]
0,10,24,[0.72488748 0.50634869]
0,11,1,[0.50141969 0.73162548]
0,11,2,[0.99065509 0.70221911]
0,11,3,[1.30831267 0.79336419]
0,11,4,[1.19711986 0.91981779]
0,11,5,[0.18162609 0.32088363]
0,11,6,[1.15432633 1.03532738]
0,11,7,[1.01234689 0.97334186]
0,11,8,[0. 0.]
0,11,9,[0.65907366 0.76245895]
0,11,10,[0.90371239 0.52677255]
0,11,11,[0.29809722 0.21897264]
0,11,12,[0.5503496  1.21011719]
0,11,13,[0.83740982 0.84748896]
0,11,14,[0.55345335 0.91195418]
0,11,15,[0.74135115 1.28998657]
0,11,16,[0.65212528 1.3010571 ]
0,11,17,[0.95847014 0.99371687]
0,11,18,[0.63141621 1.1098803 ]
0,11,19,[0.15291862 0.26643053]
0,11,20,[0.18931645 0.18826066]
0,11,21,[0.52295382 0.73959649]
0,11,22,[0.75042566 1.13495918]
0,11,23,[1.24341429 1.6911699 ]
0,11,24,[0.86782088 1.48273807]
0,11,25,[0.18513863 0.18569974]
0,11,26,[1.37088208 0.70178452]
0,11,27,[0.93190519 0.97782746]
0,11,28,[0.95430996 1.60775506]
0,11,29,[0.14793839 0.1404843 ]
0,11,30,[1.22933563 0.77993475]
0,11,31,[0.66694266 0.71173909]
0,11,32,[1.32671894 0.72676516]
0,11,33,[1.24669781 0.95463314]
0,11,34,[0.1829376  0.16205311]
0,11,35,[1.12971458 1.03478228]
0,11,36,[1.18441918 0.79503063]
0,11,37,[0.1929112  0.28610952]
0,11,38,[0.9796152  1.03428983]
0,11,39,[0.24965077 0.22841684]
0,11,40,[0. 0.]
0,11,41,[0.24091528 0.28237836]
0,11,42,[0. 0.]
0,11,43,[0.2532871  0.22512131]
0,11,44,[0.82769121 1.28464381]
0,11,45,[0.78115276 0.99412972]
0,11,46,[0.11238144 0.29669235]
0,11,47,[0.78137756 0.84677494]
0,11,48,[0.90394627 1.37814096]
0,11,49,[0.69816259 0.8492373 ]
0,12,1,[0. 0.]
0,12,2,[1.256237  1.0306631]
0,12,3,[0. 0.]
0,12,4,[0. 0.]
0,12,5,[1.87091695 1.301816  ]
0,12,6,[1.49482253 0.88071962]
0,12,7,[0. 0.]
0,12,8,[1.5546561  1.17624492]
0,12,9,[1.24496391 0.82692069]
0,12,10,[0.75961818 0.74227056]
0,12,11,[0.85118422 0.62729705]
0,12,12,[1.40619693 0.83144266]
0,12,13,[0.80593238 0.85249343]
0,12,14,[0. 0.]
0,12,15,[0.7961146  1.20550879]
0,12,16,[0. 0.]
0,12,17,[0.91317957 0.72984353]
0,13,1,[0.44440704 0.60558781]
0,13,2,[0.71179361 0.42366532]
0,13,3,[0.33784879 0.28323704]
0,13,4,[0.64210167 0.8402626 ]
0,13,5,[0.81367084 0.85182379]
0,14,1,[1.29856935 0.72647041]
0,14,2,[1.30500743 1.59320183]
0,14,3,[1.03530313 0.87471166]
0,14,4,[0. 0.]
0,14,5,[0. 0.]
0,15,1,[0.38863842 0.76048411]
0,15,2,[1.77664426 0.94582775]
0,15,3,[0.93640587 1.06771337]
0,15,4,[1.4748873  0.81946269]
0,15,5,[0.53413211 0.49279482]
0,15,6,[0.31694904 0.47712633]
0,15,7,[0.4160555  0.40120565]
0,15,8,[1.35863073 0.93279385]
0,15,9,[0.63936268 0.68846179]
0,15,10,[0.62202229 0.96060382]
0,16,1,[0. 0.]
0,16,2,[1.22671888 1.17017323]
0,16,3,[0. 0.]
0,16,4,[0.68314667 0.81203657]
0,17,1,[0. 0.]
0,17,2,[0. 0.]
0,17,3,[0.67735064 1.38264793]
0,17,4,[0.76060664 1.65755427]
0,17,5,[0. 0.]
0,17,6,[0.28198995 0.27490916]
0,17,7,[1.24927129 0.88061245]
0,17,8,[0.43870933 0.62094234]
0,17,9,[0.57983535 1.12451094]
0,17,10,[0. 0.]
0,17,11,[0.59191869 0.42446926]
0,17,12,[1.35858626 0.96221473]
0,17,13,[0.41745542 0.61178223]
0,17,14,[0.55533879 0.40542724]
0,17,15,[0.61166995 0.53695144]
0,17,16,[0.92129819 0.66974088]
0,17,17,[0.32711446 0.34146073]
0,17,18,[0.34133479 0.24487321]
0,17,19,[0.50963635 0.28659684]
0,17,20,[0.24204777 0.2302908 ]
0,18,1,[0.65326244 0.85085074]
0,18,2,[0.17298866 0.12649316]
0,18,3,[0.85347811 1.25332719]
0,18,4,[1.09875014 0.90324513]
0,18,5,[0.62178083 1.30588688]
0,18,6,[0.92528973 1.03462608]
0,18,7,[1.1338504  1.32379682]
0,18,8,[0.49743317 1.16601318]
0,18,9,[0.90425604 0.64054969]
0,18,10,[0.92871083 0.81076734]
0,18,11,[1.78687207 1.83203199]
0,18,12,[0.55585677 0.92523664]
0,18,13,[0. 0.]
0,18,14,[1.25820194 1.17022395]
0,18,15,[0.56485205 1.31021825]
0,18,16,[1.40198744 0.82601328]
0,18,17,[0.71439655 0.9428058 ]
0,18,18,[0.98147335 0.55581616]
0,19,1,[1.2177357  1.43435167]
0,19,2,[0.93883393 1.04667257]
0,19,3,[0.43161573 0.29720389]
0,19,4,[0.49622557 0.37197612]
0,19,5,[0.30449402 0.469895  ]
0,19,6,[1.67879377 1.73184042]
0,19,7,[0.23374318 0.41398389]
0,20,1,[0.86994778 1.31414429]
0,20,2,[1.2427672  0.85995233]
0,20,3,[0.95244416 1.11964267]
0,20,4,[0.81398193 0.89778282]
0,20,5,[0.88955534 0.5705766 ]
0,20,6,[0.33430779 0.59343464]
0,20,7,[0.47365728 0.37847368]
0,20,8,[0.93680926 1.12775916]
0,20,9,[0.79307283 1.15980092]
0,20,10,[0.97803885 0.64060015]
0,20,11,[1.55589142 0.83415034]
0,20,12,[0.86622889 1.41996561]
0,20,13,[0.36694139 0.24714986]
0,20,14,[1.44465171 1.23145729]
0,20,15,[1.06636394 1.07961531]
0,20,16,[0. 0.]
0,20,17,[0. 0.]
0,20,18,[0.83015389 1.0387917 ]
0,20,19,[0.26064647 0.3669077 ]
0,20,20,[0.62612732 1.22892489]
0,20,21,[0.35773262 0.42553407]
0,20,22,[0.87329782 1.61184825]
0,20,23,[1.16974836 0.85957887]
0,20,24,[0.65223986 0.3659391 ]
0,20,25,[0.96395777 1.54781267]
0,20,26,[0.6066219  0.47797226]
0,20,27,[0.33886622 0.27989788]
0,20,28,[1.21904885 1.66631479]
0,20,29,[0.29501263 0.42635858]
0,20,30,[0.51851499 0.56899164]
0,20,31,[0.52095505 0.30264758]
0,20,32,[0.37858404 0.29296262]
0,20,33,[0.53477634 1.20891364]
0,21,1,[0.97309185 1.31476819]
0,21,2,[1.66645081 1.09053012]
0,21,3,[1.20454661 0.83233345]
0,21,4,[1.08915729 1.14225315]
0,21,5,[1.13141348 1.00124826]
0,21,6,[0.29695412 0.23178529]
0,21,7,[1.20263299 1.65352403]
0,21,8,[0.91722954 0.75794012]
0,21,9,[1.50227188 1.41561523]
0,21,10,[1.21450013 0.72805138]
