Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
679,3,"[[7.0, 30.0, 1.0, 1.0, 592.5925925925926, 320.0, 214.0, 260.0]]",0,-40.94957983193277,42.0,1.050420168067227
680,0,"[[0.0, 24.0, 0.0, 1.0, 0.0, 363.6363636363636, 0.0, 248.0]]",2,-36.89441680486457,38.0,1.105583195135434
681,0,"[[0.0, 28.0, 0.0, 1.0, 0.0, 333.33333333333326, 0.0, 256.0]]",1,-15.448905263305775,27.5,2.0510947366942256
681,1,"[[6.0, 27.0, 1.0, 1.0, 615.3846153846154, 340.4255319148936, 212.0, 254.0]]",5,-7.930240354482777,20.0,2.0697596455172214
681,2,"[[7.0, 24.0, 1.0, 1.0, 592.5925925925926, 363.6363636363636, 214.0, 248.0]]",2,-7.343935286811291,19.5,2.15606471318871
681,3,"[[6.0, 23.0, 1.0, 1.0, 615.3846153846154, 372.0930232558139, 212.0, 246.0]]",5,10.21869248417921,12.0,2.2186924841792095
681,4,"[[7.0, 19.0, 1.0, 1.0, 592.5925925925926, 410.2564102564102, 214.0, 238.0]]",2,7.344322344322343,15.0,2.344322344322344
681,5,"[[5.0, 19.0, 1.0, 1.0, 640.0, 410.2564102564102, 210.0, 238.0]]",2,6.025252525252526,16.5,2.5252525252525255
681,6,"[[4.0, 16.0, 1.0, 1.0, 666.6666666666667, 444.44444444444446, 208.0, 232.0]]",4,-6.812810117034189,29.5,2.687189882965809
681,7,"[[3.0, 14.0, 1.0, 1.0, 695.6521739130435, 470.5882352941176, 206.0, 228.0]]",5,-9.719413549039434,32.5,2.7805864509605662
681,8,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",3,4.145347278090641,8.0,2.145347278090641
682,0,"[[2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0, 0.0]]",3,-1.469155330591585,14.0,2.5308446694084155
682,1,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",1,-5.597242380261248,18.5,2.9027576197387517
682,2,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",3,-10.934937611408198,24.5,3.5650623885918002
682,3,"[[2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0, 0.0]]",0,-10.934937611408198,24.5,3.5650623885918002
682,4,"[[2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0, 0.0]]",1,-11.11665195645778,24.5,3.3833480435422185
683,0,"[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",4,-20.354497354497354,43.0,2.6455026455026456
683,1,"[[0.0, 8.0, 1.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0]]",3,-2.497438992081481,15.5,3.002561007918519
684,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",3,3.4622177509501455,9.5,2.9622177509501455
685,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",3,6.272826302238067,6.5,2.772826302238067
685,1,"[[14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0, 0.0]]",2,2.525252525252526,10,2.5252525252525255
685,2,"[[16.0, 0.0, 1.0, 0.0, 444.44444444444446, 0.0, 232.0, 0.0]]",2,-7.619047619047619,10,2.380952380952381
685,3,"[[20.0, 0.0, 1.0, 0.0, 400.0, 0.0, 240.0, 0.0]]",4,-9.607545433632389,22.0,2.39245456636761
685,4,"[[3.0, 22.0, 1.0, 1.0, 695.6521739130435, 380.95238095238096, 206.0, 244.0]]",2,-8.182258744205647,20.5,2.3177412557943535
685,5,"[[4.0, 22.0, 1.0, 1.0, 666.6666666666667, 380.95238095238096, 208.0, 244.0]]",2,-12.240563530037214,24.5,2.259436469962786
685,6,"[[4.0, 24.0, 1.0, 1.0, 666.6666666666667, 363.6363636363636, 208.0, 248.0]]",5,-21.77275864232386,34.0,2.22724135767614
685,7,"[[3.0, 28.0, 1.0, 1.0, 695.6521739130435, 333.33333333333326, 206.0, 256.0]]",5,-26.414059240717563,38.5,2.0859407592824364
685,8,"[[4.0, 31.0, 1.0, 1.0, 666.6666666666667, 313.72549019607845, 208.0, 262.0]]",0,-40.94957983193277,42.0,1.050420168067227
686,0,"[[0.0, 26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0]]",1,-9.65662686656492,21.5,1.8433731334350782
686,1,"[[10.0, 27.0, 1.0, 1.0, 533.3333333333334, 340.4255319148936, 220.0, 254.0]]",2,-15.154926995428713,27.0,1.8450730045712866
686,2,"[[9.0, 29.0, 1.0, 1.0, 551.7241379310345, 326.53061224489795, 218.0, 258.0]]",2,-12.24445907395216,24.0,1.7555409260478385
686,3,"[[11.0, 29.0, 1.0, 1.0, 516.1290322580645, 326.53061224489795, 222.0, 258.0]]",3,-49.04761904761905,50.0,0.9523809523809524
687,0,"[[14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0, 0.0]]",1,-42.975541042386986,44.0,1.0244589576130105
688,0,"[[13.0, 0.0, 1.0, 0.0, 484.8484848484849, 0.0, 226.0, 0.0]]",1,-40.94957983193277,42.0,1.050420168067227
689,0,"[[11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0, 0.0]]",5,-36.89441680486457,38.0,1.105583195135434
690,0,"[[11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0, 0.0]]",3,-28.76923076923077,30.0,1.2307692307692308
691,0,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",3,-26.734377471919,28.0,1.2656225280809998
692,0,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",5,-18.57777777777778,20.0,1.4222222222222223
693,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",2,-14.487426734732464,16.0,1.512573265267536
694,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",3,-12.43871975019516,14.0,1.56128024980484
695,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",1,-10.387421890747833,12.0,1.612578109252167
696,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",3,-8.333333333333334,10,1.6666666666666667
697,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",3,6.723766429648783,5,1.7237664296487825
698,0,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",3,6.784121320249778,5,1.7841213202497772
699,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",3,6.915708812260537,5,1.9157088122605364
700,0,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",1,2.7321428571428577,9.5,2.232142857142857
700,1,"[[12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0, 0.0]]",2,-0.07575757575757613,12.5,2.4242424242424243
700,2,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",2,-4.230875735548633,17.0,2.769124264451367
700,3,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",3,-6.9523809523809526,20.0,3.0476190476190474
700,4,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",1,-9.623047699451245,23.0,3.376952300548755
700,5,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,-9.623047699451245,23.0,3.376952300548755
700,6,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,-9.709374781208428,23.0,3.2906252187915705
701,0,"[[2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0, 0.0]]",2,-3.7439967439967443,17.0,3.256003256003256
702,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",4,-16.907854050711194,40.0,3.092145949288806
703,0,"[[7.0, 3.0, 1.0, 1.0, 592.5925925925926, 695.6521739130435, 214.0, 206.0]]",3,0.3037383177570092,12.5,2.803738317757009
703,1,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",3,6.366262784183441,6.5,2.8662627841834407
704,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,7.565775168514895,5,2.565775168514895
704,1,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",4,4.526481460389121,18.0,2.52648146038912
704,2,"[[3.0, 18.0, 1.0, 1.0, 695.6521739130435, 421.0526315789474, 206.0, 236.0]]",5,-11.026283240568954,23.5,2.473716759431045
704,3,"[[2.0, 22.0, 1.0, 1.0, 727.2727272727273, 380.95238095238096, 204.0, 244.0]]",0,-22.659742000335065,24.0,1.3402579996649355
705,0,"[[0.0, 20.0, 0.0, 1.0, 0.0, 400.0, 0.0, 240.0]]",1,-1.8446568091411901,14.0,2.1553431908588094
705,1,"[[7.0, 21.0, 1.0, 1.0, 592.5925925925926, 390.2439024390244, 214.0, 242.0]]",2,-0.400278441337127,12.5,2.099721558662873
705,2,"[[8.0, 21.0, 1.0, 1.0, 571.4285714285714, 390.2439024390244, 216.0, 242.0]]",1,-2.429606625258799,14.5,2.070393374741201
705,3,"[[8.0, 22.0, 1.0, 1.0, 571.4285714285714, 380.95238095238096, 216.0, 244.0]]",5,-10.535780644476297,22.5,1.9642193555237033
705,4,"[[8.0, 26.0, 1.0, 1.0, 571.4285714285714, 347.82608695652175, 216.0, 252.0]]",2,2.8155540425938534,9.0,1.8155540425938532
705,5,"[[13.0, 23.0, 1.0, 1.0, 484.8484848484849, 372.0930232558139, 226.0, 246.0]]",0,-47.02450920619437,48.0,0.9754907938056333
706,0,"[[0.0, 26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0]]",0,-47.02450920619437,48.0,0.9754907938056333
707,0,"[[0.0, 30.0, 0.0, 1.0, 0.0, 320.0, 0.0, 260.0]]",2,-47.02450920619437,48.0,0.9754907938056333
708,0,"[[0.0, 30.0, 0.0, 1.0, 0.0, 320.0, 0.0, 260.0]]",1,-18.052705074496842,30.0,1.947294925503158
708,1,"[[7.0, 29.0, 1.0, 1.0, 592.5925925925926, 326.53061224489795, 214.0, 258.0]]",1,-19.49592504759678,31.5,2.00407495240322
708,2,"[[6.0, 29.0, 1.0, 1.0, 615.3846153846154, 326.53061224489795, 212.0, 258.0]]",2,-15.448905263305775,27.5,2.0510947366942256
708,3,"[[6.0, 27.0, 1.0, 1.0, 615.3846153846154, 340.4255319148936, 212.0, 254.0]]",1,-7.930240354482777,20.0,2.0697596455172214
708,4,"[[7.0, 24.0, 1.0, 1.0, 592.5925925925926, 363.6363636363636, 214.0, 248.0]]",5,-3.874355952958574,16.0,2.125644047041427
708,5,"[[7.0, 22.0, 1.0, 1.0, 592.5925925925926, 380.95238095238096, 214.0, 244.0]]",2,10.21869248417921,12.0,2.2186924841792095
708,6,"[[7.0, 19.0, 1.0, 1.0, 592.5925925925926, 410.2564102564102, 214.0, 238.0]]",0,-16.533724340175954,18.0,1.466275659824047
709,0,"[[0.0, 19.0, 0.0, 1.0, 0.0, 410.2564102564102, 0.0, 238.0]]",1,7.415388361334308,15.0,2.4153883613343075
709,1,"[[5.0, 17.0, 1.0, 1.0, 640.0, 432.4324324324324, 210.0, 234.0]]",2,7.493506493506494,15.0,2.4935064935064934
709,2,"[[5.0, 15.0, 1.0, 1.0, 640.0, 457.14285714285717, 210.0, 230.0]]",4,-5.391617197337652,28.0,2.6083828026623492
709,3,"[[4.0, 14.0, 1.0, 1.0, 666.6666666666667, 470.5882352941176, 208.0, 228.0]]",0,5.563983488132095,6.5,2.0639834881320946
710,0,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",0,2.7321428571428577,9.5,2.232142857142857
710,1,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",4,-1.469155330591585,14.0,2.5308446694084155
710,2,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",4,-6.9523809523809526,20.0,3.0476190476190474
710,3,"[[0.0, 5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",2,-6.9523809523809526,20.0,3.0476190476190474
710,4,"[[0.0, 5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",0,-2.8544973544973544,15.5,2.6455026455026456
710,5,"[[0.0, 8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0]]",0,1.3249055507120033,11.0,2.3249055507120024
710,6,"[[0.0, 11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0]]",4,5.563983488132095,6.5,2.0639834881320946
711,0,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",3,6.987577639751553,5,1.987577639751553
712,0,"[[0.0, 10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",0,6.915708812260537,5,1.9157088122605364
713,0,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",0,6.848001848001848,5,1.8480018480018479
714,0,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",1,7.453494218200101,15.0,2.4534942182001003
714,1,"[[5.0, 16.0, 1.0, 1.0, 640.0, 444.44444444444446, 210.0, 232.0]]",3,-9.494357332484862,12.0,2.505642667515138
714,2,"[[21.0, 0.0, 1.0, 0.0, 390.2439024390244, 0.0, 242.0, 0.0]]",4,-3.284959211842203,15.5,2.215040788157797
714,3,"[[6.0, 21.0, 1.0, 1.0, 615.3846153846154, 390.2439024390244, 212.0, 242.0]]",3,-21.66878109347681,24.0,2.3312189065231896
714,4,"[[27.0, 0.0, 1.0, 0.0, 340.4255319148936, 0.0, 254.0, 0.0]]",1,-25.71904039065449,28.0,2.2809596093455093
714,5,"[[29.0, 0.0, 1.0, 0.0, 326.53061224489795, 0.0, 258.0, 0.0]]",3,-29.914059240717563,32.0,2.0859407592824364
714,6,"[[31.0, 0.0, 1.0, 0.0, 313.72549019607845, 0.0, 262.0, 0.0]]",1,-37.927392300793834,40.0,2.072607699206165
714,7,"[[35.0, 0.0, 1.0, 0.0, 290.90909090909093, 0.0, 270.0, 0.0]]",4,-15.154926995428713,27.0,1.8450730045712866
714,8,"[[9.0, 29.0, 1.0, 1.0, 551.7241379310345, 326.53061224489795, 218.0, 258.0]]",2,-11.10985239439422,23.0,1.89014760560578
714,9,"[[9.0, 27.0, 1.0, 1.0, 551.7241379310345, 340.4255319148936, 218.0, 254.0]]",2,-9.086063351303071,21.0,1.9139366486969283
714,10,"[[9.0, 26.0, 1.0, 1.0, 551.7241379310345, 347.82608695652175, 218.0, 252.0]]",2,-7.061368176310705,19.0,1.938631823689295
714,11,"[[9.0, 25.0, 1.0, 1.0, 551.7241379310345, 355.55555555555554, 218.0, 250.0]]",1,-8.510763675999726,20.5,1.9892363240002726
714,12,"[[8.0, 25.0, 1.0, 1.0, 571.4285714285714, 355.55555555555554, 216.0, 250.0]]",2,-9.956577266922096,22.0,2.0434227330779056
714,13,"[[7.0, 25.0, 1.0, 1.0, 592.5925925925926, 355.55555555555554, 214.0, 250.0]]",2,-9.371693523867435,21.5,2.128306476132563
714,14,"[[6.0, 24.0, 1.0, 1.0, 615.3846153846154, 363.6363636363636, 212.0, 248.0]]",2,-6.751206209355988,19.0,2.2487937906440107
714,15,"[[5.0, 22.0, 1.0, 1.0, 640.0, 380.95238095238096, 210.0, 244.0]]",2,-1.2535738597685508,13.5,2.24642614023145
714,16,"[[6.0, 20.0, 1.0, 1.0, 615.3846153846154, 400.0, 212.0, 240.0]]",2,8.779202279202279,13.5,2.2792022792022792
714,17,"[[6.0, 19.0, 1.0, 1.0, 615.3846153846154, 410.2564102564102, 212.0, 238.0]]",0,-14.487426734732464,16.0,1.512573265267536
715,0,"[[0.0, 18.0, 0.0, 1.0, 0.0, 421.0526315789474, 0.0, 236.0]]",1,7.415388361334308,15.0,2.4153883613343075
715,1,"[[5.0, 17.0, 1.0, 1.0, 640.0, 432.4324324324324, 210.0, 234.0]]",3,6.784121320249778,5,1.7841213202497772
716,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",3,6.987577639751553,5,1.987577639751553
717,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",4,-12.615057494726813,35.5,2.884942505273185
718,0,"[[2.0, 11.0, 1.0, 1.0, 727.2727272727273, 516.1290322580645, 204.0, 222.0]]",4,-15.497438992081484,38.5,3.002561007918519
719,0,"[[0.0, 11.0, 1.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0]]",4,-21.730875735548636,44.5,2.769124264451367
719,1,"[[0.0, 7.0, 1.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",4,-23.09724238026125,46.0,2.9027576197387517
719,2,"[[0.0, 6.0, 1.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0]]",4,-24.45238095238095,47.5,3.0476190476190474
719,3,"[[0.0, 5.0, 1.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",3,-8.294871794871796,21.5,3.2051282051282053
719,4,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",4,-25.794871794871796,49.0,3.2051282051282053
719,5,"[[0.0, 4.0, 1.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0]]",3,-8.209374781208428,21.5,3.2906252187915705
720,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",4,-19.743996743996746,43.0,3.256003256003256
721,0,"[[1.0, 7.0, 1.0, 1.0, 761.9047619047619, 592.5925925925926, 202.0, 214.0]]",3,-2.310207336523126,15.5,3.1897926634768745
722,0,"[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",2,-1.0580747362167973,14.0,2.9419252637832027
723,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",0,3.200617283950617,9.5,2.7006172839506175
723,1,"[[12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0, 0.0]]",2,2.525252525252526,10,2.5252525252525255
723,2,"[[16.0, 0.0, 1.0, 0.0, 444.44444444444446, 0.0, 232.0, 0.0]]",4,8.926532743274825,13.5,2.4265327432748247
723,3,"[[6.0, 15.0, 1.0, 1.0, 615.3846153846154, 457.14285714285717, 212.0, 230.0]]",3,-12.43871975019516,14.0,1.56128024980484
724,0,"[[2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0, 0.0]]",2,-13.63773186467067,16.0,2.3622681353293307
724,1,"[[23.0, 0.0, 1.0, 0.0, 372.0930232558139, 0.0, 246.0, 0.0]]",4,-14.2680737506065,26.5,2.2319262493934984
724,2,"[[4.0, 25.0, 1.0, 1.0, 666.6666666666667, 355.55555555555554, 208.0, 250.0]]",4,-18.911301859799714,31.0,2.088698140200286
724,3,"[[5.0, 28.0, 1.0, 1.0, 640.0, 333.33333333333326, 210.0, 256.0]]",4,-16.029944838455478,28.0,1.9700551615445232
724,4,"[[7.0, 28.0, 1.0, 1.0, 592.5925925925926, 333.33333333333326, 214.0, 256.0]]",2,-15.154926995428713,27.0,1.8450730045712866
724,5,"[[9.0, 29.0, 1.0, 1.0, 551.7241379310345, 326.53061224489795, 218.0, 258.0]]",4,-18.627250900360146,30.5,1.872749099639856
724,6,"[[8.0, 30.0, 1.0, 1.0, 571.4285714285714, 320.0, 216.0, 260.0]]",3,-36.89441680486457,38.0,1.105583195135434
725,0,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",1,-34.86508724641793,36.0,1.1349127535820682
726,0,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",0,-32.83449883449883,34.0,1.1655011655011656
727,0,"[[9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0, 0.0]]",4,1.6303258145363415,10.5,2.130325814536341
727,1,"[[8.0, 20.0, 1.0, 1.0, 571.4285714285714, 400.0, 216.0, 240.0]]",3,-18.57777777777778,20.0,1.4222222222222223
728,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",5,-12.43871975019516,14.0,1.56128024980484
729,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",2,-8.333333333333334,10,1.6666666666666667
730,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",5,6.784121320249778,5,1.7841213202497772
731,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",3,6.848001848001848,5,1.8480018480018479
732,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,6.915708812260537,5,1.9157088122605364
733,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",2,6.987577639751553,5,1.987577639751553
734,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",1,1.3249055507120033,11.0,2.3249055507120024
734,1,"[[11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0, 0.0]]",4,-18.36354835096254,41.5,3.136451649037461
735,0,"[[1.0, 8.0, 1.0, 1.0, 761.9047619047619, 571.4285714285714, 202.0, 216.0]]",2,-21.730875735548636,44.5,2.769124264451367
735,1,"[[0.0, 7.0, 1.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",3,-8.294871794871796,21.5,3.2051282051282053
735,2,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",3,-8.294871794871796,21.5,3.2051282051282053
735,3,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",0,-8.01567944250871,21.5,3.4843205574912894
736,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",3,-6.697408871321915,20.0,3.302591128678085
737,0,"[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0,-3.7439967439967443,17.0,3.256003256003256
738,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",4,-15.430715414127732,38.5,3.069284585872264
739,0,"[[4.0, 7.0, 1.0, 1.0, 666.6666666666667, 592.5925925925926, 208.0, 214.0]]",5,-11.215597808572348,34.0,2.7844021914276507
739,1,"[[5.0, 9.0, 1.0, 1.0, 640.0, 551.7241379310345, 210.0, 218.0]]",5,-8.340930674264008,31.0,2.6590693257359925
739,2,"[[6.0, 10.0, 1.0, 1.0, 615.3846153846154, 533.3333333333334, 212.0, 220.0]]",3,7.779606466242411,5,2.7796064662424107
740,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",4,-5.355974699413071,28.0,2.644025300586928
740,1,"[[3.0, 15.0, 1.0, 1.0, 695.6521739130435, 457.14285714285717, 206.0, 230.0]]",4,4.526481460389121,18.0,2.52648146038912
740,2,"[[3.0, 18.0, 1.0, 1.0, 695.6521739130435, 421.0526315789474, 206.0, 236.0]]",1,-5.543380775979724,18.0,2.456619224020277
740,3,"[[3.0, 20.0, 1.0, 1.0, 695.6521739130435, 400.0, 206.0, 240.0]]",2,-7.5761248295712775,20.0,2.423875170428723
740,4,"[[3.0, 21.0, 1.0, 1.0, 695.6521739130435, 390.2439024390244, 206.0, 242.0]]",4,-19.142327161777963,31.5,2.357672838222037
740,5,"[[2.0, 26.0, 1.0, 1.0, 727.2727272727273, 347.82608695652175, 204.0, 252.0]]",4,-12.835748792270532,25.0,2.1642512077294684
740,6,"[[5.0, 25.0, 1.0, 1.0, 640.0, 355.55555555555554, 210.0, 250.0]]",4,-13.4241148656441,25.5,2.075885134355899
740,7,"[[6.0, 26.0, 1.0, 1.0, 615.3846153846154, 347.82608695652175, 212.0, 252.0]]",4,-14.006371528830158,26.0,1.9936284711698422
740,8,"[[7.0, 27.0, 1.0, 1.0, 592.5925925925926, 340.4255319148936, 214.0, 254.0]]",4,-12.559884886503266,24.5,1.9401151134967343
740,9,"[[8.0, 27.0, 1.0, 1.0, 571.4285714285714, 340.4255319148936, 216.0, 254.0]]",1,-16.605571342461033,28.5,1.894428657538965
740,10,"[[8.0, 29.0, 1.0, 1.0, 571.4285714285714, 326.53061224489795, 216.0, 258.0]]",4,-22.668498168498168,34.5,1.8315018315018317
740,11,"[[8.0, 32.0, 1.0, 1.0, 571.4285714285714, 307.6923076923077, 216.0, 264.0]]",4,-22.668498168498168,34.5,1.8315018315018317
740,12,"[[8.0, 32.0, 1.0, 1.0, 571.4285714285714, 307.6923076923077, 216.0, 264.0]]",4,-16.605571342461033,28.5,1.894428657538965
740,13,"[[8.0, 29.0, 1.0, 1.0, 571.4285714285714, 326.53061224489795, 216.0, 258.0]]",0,-34.86508724641793,36.0,1.1349127535820682
741,0,"[[0.0, 23.0, 0.0, 1.0, 0.0, 372.0930232558139, 0.0, 246.0]]",1,3.078000301159464,9.0,2.078000301159464
741,1,"[[9.0, 20.0, 1.0, 1.0, 551.7241379310345, 400.0, 218.0, 240.0]]",4,10.21869248417921,12.0,2.2186924841792095
741,2,"[[7.0, 19.0, 1.0, 1.0, 592.5925925925926, 410.2564102564102, 214.0, 238.0]]",4,7.37904177484069,15.0,2.3790417748406893
741,3,"[[5.0, 18.0, 1.0, 1.0, 640.0, 421.0526315789474, 210.0, 236.0]]",5,7.415388361334308,15.0,2.4153883613343075
741,4,"[[5.0, 17.0, 1.0, 1.0, 640.0, 432.4324324324324, 210.0, 234.0]]",4,7.468120115178939,15.0,2.4681201151789387
741,5,"[[6.0, 14.0, 1.0, 1.0, 615.3846153846154, 470.5882352941176, 212.0, 228.0]]",4,-3.9342248314851034,26.5,2.565775168514895
741,6,"[[4.0, 15.0, 1.0, 1.0, 666.6666666666667, 457.14285714285717, 208.0, 230.0]]",0,6.987577639751553,5,1.987577639751553
742,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",4,1.3249055507120033,11.0,2.3249055507120024
742,1,"[[0.0, 11.0, 0.0, 1.0, 0.0, 516.1290322580645, 0.0, 222.0]]",3,-0.07575757575757613,12.5,2.4242424242424243
742,2,"[[0.0, 10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",4,-4.230875735548633,17.0,2.769124264451367
742,3,"[[0.0, 7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",3,-5.597242380261248,18.5,2.9027576197387517
742,4,"[[0.0, 6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0]]",3,-8.294871794871796,21.5,3.2051282051282053
742,5,"[[0.0, 4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0]]",0,-8.294871794871796,21.5,3.2051282051282053
742,6,"[[0.0, 4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0]]",4,-3.7439967439967443,17.0,3.256003256003256
743,0,"[[0.0, 5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",3,-0.07575757575757613,12.5,2.4242424242424243
