Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
18,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",2,-18.57777777777778,20.0,1.4222222222222223
19,0,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",0,-14.487426734732464,16.0,1.512573265267536
20,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",1,-12.43871975019516,14.0,1.56128024980484
21,0,"[[5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0, 0.0]]",4,-5.420072282457603,28.0,2.5799277175423967
21,1,"[[5.0, 13.0, 1.0, 1.0, 640.0, 484.8484848484849, 210.0, 226.0]]",1,-6.873271889400922,29.5,2.6267281105990783
21,2,"[[5.0, 12.0, 1.0, 1.0, 640.0, 500.0, 210.0, 224.0]]",5,-8.323775388291516,31.0,2.6762246117084825
21,3,"[[5.0, 11.0, 1.0, 1.0, 640.0, 516.1290322580645, 210.0, 222.0]]",1,-14.092941998602377,37.0,2.907058001397624
22,0,"[[2.0, 10.0, 1.0, 1.0, 727.2727272727273, 533.3333333333334, 204.0, 220.0]]",2,-18.310207336523128,41.5,3.1897926634768745
23,0,"[[1.0, 8.0, 1.0, 1.0, 761.9047619047619, 571.4285714285714, 202.0, 216.0]]",1,-24.015679442508713,47.5,3.4843205574912894
24,0,"[[1.0, 4.0, 1.0, 1.0, 761.9047619047619, 666.6666666666667, 202.0, 208.0]]",4,-28.434937611408202,52.0,3.5650623885918002
24,1,"[[0.0, 2.0, 1.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",0,-10.934937611408198,24.5,3.5650623885918002
24,2,"[[0.0, 2.0, 0.0, 1.0, 0.0, 727.2727272727273, 0.0, 204.0]]",2,-8.11665195645778,21.5,3.3833480435422185
25,0,"[[0.0, 5.0, 0.0, 1.0, 0.0, 640.0, 0.0, 210.0]]",2,-4.230875735548633,17.0,2.769124264451367
25,1,"[[0.0, 7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0]]",2,-1.469155330591585,14.0,2.5308446694084155
25,2,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",1,-16.907854050711194,40.0,3.092145949288806
26,0,"[[0.0, 10.0, 1.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",2,-14.767857142857146,37.0,2.232142857142857
26,1,"[[0.0, 12.0, 1.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",1,-9.681113460183226,32.5,2.818886539816772
27,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",3,7.729068166856186,5,2.729068166856185
27,1,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,7.647728675125935,5,2.647728675125935
27,2,"[[17.0, 0.0, 1.0, 0.0, 432.4324324324324, 0.0, 234.0, 0.0]]",3,-7.461097461097461,10,2.538902538902539
27,3,"[[20.0, 0.0, 1.0, 0.0, 400.0, 0.0, 240.0, 0.0]]",1,-11.60754543363239,14.0,2.39245456636761
27,4,"[[22.0, 0.0, 1.0, 0.0, 380.95238095238096, 0.0, 244.0, 0.0]]",0,-17.69471989151623,20.0,2.30528010848377
27,5,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",5,-23.69433465085639,26.0,2.30566534914361
27,6,"[[28.0, 0.0, 1.0, 0.0, 333.33333333333326, 0.0, 256.0, 0.0]]",1,-29.681831353230947,32.0,2.3181686467690525
27,7,"[[31.0, 0.0, 1.0, 0.0, 313.72549019607845, 0.0, 262.0, 0.0]]",4,-4.153210619038941,16.0,1.8467893809610594
27,8,"[[11.0, 25.0, 1.0, 1.0, 516.1290322580645, 355.55555555555554, 222.0, 250.0]]",4,-6.177309875074712,18.0,1.8226901249252874
27,9,"[[11.0, 26.0, 1.0, 1.0, 516.1290322580645, 347.82608695652175, 222.0, 252.0]]",1,-13.132790145011882,25.0,1.8672098549881178
27,10,"[[9.0, 28.0, 1.0, 1.0, 551.7241379310345, 333.33333333333326, 218.0, 256.0]]",5,-5.035707078181549,17.0,1.964292921818451
27,11,"[[9.0, 24.0, 1.0, 1.0, 551.7241379310345, 363.6363636363636, 218.0, 248.0]]",3,-30.802574464900463,32.0,1.197425535099536
28,0,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",3,-28.76923076923077,30.0,1.2307692307692308
29,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",3,-20.619737750172533,22.0,1.3802622498274673
30,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",1,-14.487426734732464,16.0,1.512573265267536
31,0,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",4,-4.0226998372959635,26.5,2.4773001627040365
31,1,"[[9.0, 10.0, 1.0, 1.0, 551.7241379310345, 533.3333333333334, 218.0, 220.0]]",3,6.784121320249778,5,1.7841213202497772
32,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",5,6.915708812260537,5,1.9157088122605364
33,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",5,5.563983488132095,6.5,2.0639834881320946
34,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",1,-0.07575757575757613,12.5,2.4242424242424243
34,1,"[[10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0, 0.0]]",4,-21.19740887132191,44.5,3.302591128678085
35,0,"[[1.0, 6.0, 1.0, 1.0, 761.9047619047619, 615.3846153846154, 202.0, 212.0]]",1,-25.42755652985832,49.0,3.57244347014168
36,0,"[[2.0, 2.0, 1.0, 1.0, 727.2727272727273, 727.2727272727273, 204.0, 204.0]]",1,-25.434937611408202,49.0,3.5650623885918002
37,0,"[[1.0, 1.0, 1.0, 1.0, 761.9047619047619, 761.9047619047619, 202.0, 202.0]]",4,-26.832075149809143,50.5,3.66792485019086
38,0,"[[0.0, 3.0, 1.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0]]",5,-25.794871794871796,49.0,3.2051282051282053
38,1,"[[0.0, 4.0, 1.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0]]",5,-23.09724238026125,46.0,2.9027576197387517
38,2,"[[0.0, 6.0, 1.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0]]",2,-18.310207336523128,41.5,3.1897926634768745
39,0,"[[2.0, 7.0, 1.0, 1.0, 727.2727272727273, 592.5925925925926, 204.0, 214.0]]",0,-0.872312143248104,14.0,3.127687856751896
40,0,"[[0.0, 9.0, 0.0, 1.0, 0.0, 551.7241379310345, 0.0, 218.0]]",3,3.4622177509501455,9.5,2.9622177509501455
41,0,"[[0.0, 10.0, 0.0, 1.0, 0.0, 533.3333333333334, 0.0, 220.0]]",2,6.848001848001848,5,1.8480018480018479
42,0,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",1,-3.9880522825728306,26.5,2.5119477174271694
42,1,"[[6.0, 13.0, 1.0, 1.0, 615.3846153846154, 484.8484848484849, 212.0, 226.0]]",2,8.887002387002386,13.5,2.387002387002387
42,2,"[[6.0, 16.0, 1.0, 1.0, 615.3846153846154, 444.44444444444446, 212.0, 232.0]]",2,10.28800228800229,12.0,2.2880022880022883
42,3,"[[7.0, 17.0, 1.0, 1.0, 592.5925925925926, 432.4324324324324, 214.0, 234.0]]",3,-15.586484312148029,18.0,2.4135156878519712
42,4,"[[24.0, 0.0, 1.0, 0.0, 363.6363636363636, 0.0, 248.0, 0.0]]",0,-19.55565892321303,22.0,2.4443410767869684
42,5,"[[26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0, 0.0]]",4,4.528985507246377,7.5,2.028985507246377
42,6,"[[10.0, 20.0, 1.0, 1.0, 533.3333333333334, 400.0, 220.0, 240.0]]",5,-0.10208962497034513,12.0,1.8979103750296547
42,7,"[[11.0, 23.0, 1.0, 1.0, 516.1290322580645, 372.0930232558139, 222.0, 246.0]]",3,-35.90728170841911,38.0,2.0927182915808857
42,8,"[[34.0, 0.0, 1.0, 0.0, 296.2962962962963, 0.0, 268.0, 0.0]]",0,-43.91013584117032,46.0,2.089864158829676
42,9,"[[38.0, 0.0, 1.0, 0.0, 275.8620689655172, 0.0, 276.0, 0.0]]",0,-49.04761904761905,50.0,0.9523809523809524
43,0,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",2,-40.94957983193277,42.0,1.050420168067227
44,0,"[[12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0, 0.0]]",0,-38.92255892255892,40.0,1.0774410774410776
