Episode,Step,State,Action,Reward,Penalty,Penalty Reasons,Energy Efficiency
0,0,"[[6.0, 9.0, 1.0, 1.0, 615.3846153846154, 551.7241379310345, 212.0, 218.0]]",2,32.71420640305965,0,[],2.714206403059651
1,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
2,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
3,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
4,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",4,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
5,0,"[[2.0, 13.0, 1.0, 1.0, 727.2727272727273, 484.8484848484849, 204.0, 226.0]]",4,0,30.0,['SBS 0 underloaded with 2 UEs'],2.818886539816772
6,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
7,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",2,33.48757763975155,0,[],1.987577639751553
8,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",3,33.48757763975155,0,[],1.987577639751553
9,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",2,33.48757763975155,0,[],1.987577639751553
10,0,"[[2.0, 13.0, 1.0, 1.0, 727.2727272727273, 484.8484848484849, 204.0, 226.0]]",1,0,30.0,['SBS 0 underloaded with 2 UEs'],2.818886539816772
11,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
12,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
13,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
14,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
15,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
16,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
17,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
18,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
19,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
20,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",4,0,30.0,['SBS 0 underloaded with 3 UEs'],2.7805864509605662
21,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
22,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",2,33.48757763975155,0,[],1.987577639751553
23,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",4,33.48757763975155,0,[],1.987577639751553
24,0,"[[5.0, 10.0, 1.0, 1.0, 640.0, 533.3333333333334, 210.0, 220.0]]",1,30.728682170542637,0,[],2.728682170542636
25,0,"[[2.0, 13.0, 1.0, 1.0, 727.2727272727273, 484.8484848484849, 204.0, 226.0]]",5,0,30.0,['SBS 0 underloaded with 2 UEs'],2.818886539816772
26,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",5,0,30.0,['SBS 0 underloaded with 3 UEs'],2.7805864509605662
27,0,"[[9.0, 6.0, 1.0, 1.0, 551.7241379310345, 615.3846153846154, 218.0, 212.0]]",1,32.71420640305965,0,[],2.714206403059651
28,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",4,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
29,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",4,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
30,0,"[[2.0, 13.0, 1.0, 1.0, 727.2727272727273, 484.8484848484849, 204.0, 226.0]]",4,0,30.0,['SBS 0 underloaded with 2 UEs'],2.818886539816772
31,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
32,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",4,33.48757763975155,0,[],1.987577639751553
33,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
34,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",4,33.48757763975155,0,[],1.987577639751553
35,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
36,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",3,33.48757763975155,0,[],1.987577639751553
37,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",3,33.48757763975155,0,[],1.987577639751553
38,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
39,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",1,0,30.0,['SBS 0 underloaded with 3 UEs'],2.7805864509605662
40,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",5,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
41,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",2,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
42,0,"[[0.0, 15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0]]",0,33.48757763975155,0,[],1.987577639751553
43,0,"[[5.0, 10.0, 1.0, 1.0, 640.0, 533.3333333333334, 210.0, 220.0]]",1,30.728682170542637,0,[],2.728682170542636
44,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",5,0,30.0,['SBS 0 underloaded with 3 UEs'],2.7805864509605662
45,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",2,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
46,0,"[[5.0, 10.0, 1.0, 1.0, 640.0, 533.3333333333334, 210.0, 220.0]]",2,30.728682170542637,0,[],2.728682170542636
47,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
48,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",2,33.48757763975155,0,[],1.987577639751553
49,0,"[[4.0, 11.0, 1.0, 1.0, 666.6666666666667, 516.1290322580645, 208.0, 222.0]]",4,0,30.0,['SBS 0 underloaded with 4 UEs'],2.75068767191798
50,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",5,0,30.0,['SBS 0 underloaded with 3 UEs'],2.7805864509605662
51,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
52,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
53,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
54,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",2,33.48757763975155,0,[],1.987577639751553
55,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
56,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
57,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
58,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
59,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
60,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
61,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
62,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
63,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
64,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
65,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
66,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",1,33.48757763975155,0,[],1.987577639751553
67,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
68,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
69,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",5,33.48757763975155,0,[],1.987577639751553
70,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",3,33.48757763975155,0,[],1.987577639751553
71,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",2,33.48757763975155,0,[],1.987577639751553
72,0,"[[15.0, 0.0, 1.0, 0.0, 457.14285714285717, 0.0, 230.0, 0.0]]",0,33.48757763975155,0,[],1.987577639751553
