Thread ID,Epoch,Step,Reward
0,0,1,[0.12149505 0.5451713 ]
0,1,1,[0.13677457 0.53874708]
0,2,1,[0.14585728 0.57611528]
0,3,1,[0.17849155 0.49684763]
0,4,1,[0.2003381  0.46465428]
0,5,1,[0.14393485 0.57242028]
0,6,1,[0.17709517 0.55498554]
0,7,1,[0.17828666 0.51039131]
0,8,1,[0.21009628 0.4931328 ]
0,9,1,[0.14991831 0.5217103 ]
0,10,1,[0.26185679 0.46616729]
0,11,1,[0.13696218 0.53622155]
0,12,1,[0.09719417 0.59433086]
0,13,1,[0.27465855 0.41354309]
0,14,1,[0.15187418 0.53419016]
0,15,1,[0.22272059 0.43368867]
0,16,1,[0.13478266 0.54197191]
0,17,1,[0.25151371 0.44277475]
0,18,1,[0.17240958 0.48843362]
0,19,1,[0.09959729 0.61772599]
0,20,1,[0.1694443  0.54248536]
0,21,1,[0.23704352 0.45801898]
0,22,1,[0.16458558 0.52138524]
0,23,1,[0.19382673 0.50244749]
0,24,1,[0.16491457 0.52176508]
0,25,1,[0.1485789  0.46952741]
0,26,1,[0.18937157 0.47865379]
0,27,1,[0.18082315 0.51734177]
0,28,1,[0.12129233 0.55381264]
0,29,1,[0.11107463 0.58097478]
0,30,1,[0.1990384  0.45437088]
0,31,1,[0.17421118 0.48804464]
0,32,1,[0.14204144 0.55775508]
0,33,1,[0.14279782 0.5116827 ]
0,34,1,[0.15492921 0.5416821 ]
0,35,1,[0.1757023  0.49405573]
0,36,1,[0.18029498 0.51234759]
0,37,1,[0.12183424 0.54274527]
0,38,1,[0.19386615 0.50144495]
0,39,1,[0.21638409 0.42663538]
0,40,1,[0.16454981 0.5195404 ]
0,41,1,[0.14324208 0.574164  ]
0,42,1,[0.12969755 0.52495188]
0,43,1,[0.22091729 0.46695873]
0,44,1,[0.11867549 0.53122603]
0,45,1,[0.15804643 0.55508641]
0,46,1,[0.07737692 0.57142181]
0,47,1,[0.14888728 0.53273428]
