Episode,Step,State,Action,Reward,Penalty,Penalty Reasons,Energy Efficiency
2280,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2281,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2282,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2283,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2284,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2285,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2286,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2287,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2288,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2289,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2290,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2291,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2292,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2293,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2294,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2295,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2296,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2297,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2298,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2299,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2300,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
